Manufacturer,Model,Price,Fuel Type,Vehicle Chassis
Peugeot,e-308 SW,"584,-",Elektriciteit,Stationwagen
Renault,Austral,"584,-",Hybrid benzine,SUV
Opel,Astra Sports Tourer,"579,-",PHEV benzine,Stationwagen
BMW,2 Serie Gran Coupe,"579,-",Benzine,Sedan
Peugeot,408,"584,-",Benzine,Hatchback
Lynk & Co,01,"574,-",PHEV benzine,SUV
Volkswagen,Golf Variant,"569,-",Benzine,Stationwagen
Hyundai,Tucson,"574,-",Benzine,SUV
Mazda,CX-5,"569,-",Benzine,SUV
Peugeot,e-308,"569,-",Elektriciteit,Hatchback
Volkswagen,Golf,"564,-",Benzine,Hatchback
Kia,EV6,"559,-",Elektriciteit,Hatchback
Opel,Astra,"559,-",PHEV benzine,Hatchback
Skoda,Karoq,"549,-",Benzine,SUV
Cupra,Born,"549,-",Elektriciteit,Hatchback
Toyota,Corolla Cross,"554,-",Hybrid benzine,SUV
Volvo,XC60,"1.019,-",PHEV benzine,SUV
Land Rover,Range Rover Evoque,"969,-",PHEV benzine,SUV
BMW,i5,"959,-",Elektriciteit,Sedan
BMW,X3,"939,-",PHEV benzine,SUV
Zeekr,001,"829,-",Elektriciteit,Hatchback
Lexus,ES 300h,"909,-",Hybrid benzine,Sedan
Alfa Romeo,Giulia,"944,-",Benzine,Sedan
Volvo,V60,"844,-",PHEV benzine,Stationwagen
Kia,EV9,"819,-",Elektriciteit,SUV
BMW,3 Serie Touring,"799,-",Benzine,Stationwagen
Xpeng,G9,"799,-",Elektriciteit,SUV
BMW,3 Serie Touring,"789,-",PHEV benzine,Stationwagen
Volvo,V60,"789,-",Benzine,Stationwagen
Toyota,RAV4,"789,-",PHEV benzine,SUV
Subaru,Solterra,"769,-",Elektriciteit,SUV
Peugeot,508 SW,"769,-",PHEV benzine,Stationwagen
BMW,iX2,"749,-",Elektriciteit,SUV
BMW,i4,"749,-",Elektriciteit,Hatchback
VinFast,VF 8,"749,-",Elektriciteit,SUV
BMW,X1,"744,-",PHEV benzine,SUV
Peugeot,508,"749,-",PHEV benzine,Hatchback
BMW,3 Serie Sedan,"739,-",Benzine,Sedan
Mazda,CX-60,"734,-",PHEV benzine,SUV
Skoda,Kodiaq,"729,-",Benzine,SUV
Nissan,X-Trail,"729,-",Hybrid benzine,SUV
Mercedes-Benz,CLA Shooting Brake,"719,-",PHEV benzine,Stationwagen
BMW,iX1,"714,-",Elektriciteit,SUV
Polestar,2,"699,-",Elektriciteit,Hatchback
Audi,Q4 e-tron,"709,-",Elektriciteit,SUV
BMW,X1,"709,-",Benzine,SUV
Toyota,RAV4,"699,-",Hybrid benzine,SUV
Citroen,C5 X,"689,-",PHEV benzine,Hatchback
Xpeng,P7,"699,-",Elektriciteit,Sedan
Mercedes-Benz,CLA Shooting Brake,"689,-",Benzine,Stationwagen
Mazda,6 Sportbreak,"684,-",Benzine,Stationwagen
MG,Marvel R,"669,-",Elektriciteit,SUV
Cupra,Formentor,"669,-",PHEV benzine,SUV
Jeep,Compass,"669,-",PHEV benzine,SUV
Mercedes-Benz,EQB,"664,-",Elektriciteit,SUV
Volvo,C40 Recharge,"669,-",Elektriciteit,SUV
Mercedes-Benz,CLA Coupe,"669,-",PHEV benzine,Sedan
Cupra,Leon Sportstourer,"664,-",PHEV benzine,Stationwagen
Lexus,UX 250h,"659,-",Hybrid benzine,SUV
Nissan,Ariya,"649,-",Elektriciteit,SUV
BMW,2 Serie Active Tourer,"649,-",Benzine,MPV
Mazda,6,"649,-",Benzine,Sedan
Volvo,XC40 Recharge,"649,-",Elektriciteit,SUV
Mercedes-Benz,B-Klasse,"649,-",PHEV benzine,MPV
Mercedes-Benz,CLA Coupe,"649,-",Benzine,Sedan
Seat,Tarraco,"649,-",Benzine,SUV
Peugeot,5008,"639,-",Benzine,SUV
Ford,Mustang Mach-E,"649,-",Elektriciteit,SUV
Mercedes-Benz,B-Klasse,"639,-",Benzine,MPV
Skoda,Enyaq Coupe,"629,-",Elektriciteit,SUV
Mercedes-Benz,EQA,"639,-",Elektriciteit,SUV
Cupra,Leon,"639,-",PHEV benzine,Hatchback
Zeekr,X,"629,-",Elektriciteit,SUV
Nissan,QASHQAI,"639,-",Hybrid benzine,SUV
Peugeot,408,"639,-",PHEV benzine,Hatchback
Hyundai,Tucson,"629,-",PHEV benzine,SUV
BMW,2 Serie Active Tourer,"619,-",Benzine,MPV
Jeep,Compass,"619,-",Benzine,SUV
Opel,Grandland,"619,-",PHEV benzine,SUV
Peugeot,5008,"619,-",Benzine,SUV
Tesla,Model Y,"619,-",Elektriciteit,SUV
Toyota,bZ4X,"619,-",Elektriciteit,SUV
Jeep,Renegade,"619,-",PHEV benzine,SUV
Citroen,C5 Aircross,"614,-",PHEV benzine,SUV
BMW,iX1,"609,-",Elektriciteit,SUV
Volkswagen,ID.3,"599,-",Elektriciteit,Hatchback
Peugeot,e-3008,"599,-",Elektriciteit,SUV
Skoda,Enyaq,"599,-",Elektriciteit,SUV
DS,4,"599,-",PHEV benzine,Hatchback
Toyota,Prius,"599,-",PHEV benzine,Hatchback
Peugeot,308 SW,"594,-",PHEV benzine,Stationwagen
Peugeot,308,"589,-",PHEV benzine,Hatchback
DS,4,"549,-",Benzine,Hatchback
Mitsubishi,Eclipse Cross,"549,-",PHEV benzine,SUV
Tesla,Model 3,"589,-",Elektriciteit,Sedan
Peugeot,3008,"584,-",Benzine,SUV
Opel,Grandland,"544,-",Benzine,SUV
Mazda,MX-30,"544,-",PHEV benzine,SUV
Mitsubishi,ASX,"544,-",PHEV benzine,SUV
Audi,A3 Sportback,"534,-",Benzine,Sedan
BMW,1 Serie,"529,-",Benzine,Hatchback
Audi,Q2,"529,-",Benzine,SUV
Renault,Austral,"534,-",Benzine,SUV
Volkswagen,Golf,"529,-",Benzine,Hatchback
Audi,A3 Limousine,"519,-",Benzine,Sedan
Mazda,MX-5 Roadster,"514,-",Benzine,Cabriolet
Hyundai,KONA Electric,"514,-",Elektriciteit,SUV
Volkswagen,T-Roc,"509,-",Benzine,SUV
Audi,A3 Sportback,"524,-",Benzine,Sportback
Renault,Arkana,"509,-",Hybrid benzine,SUV
BYD,ATTO 3,"509,-",Elektriciteit,SUV
Jeep,Renegade,"509,-",Benzine,SUV
Toyota,Corolla Touring Sports,"499,-",Hybrid benzine,Stationwagen
Peugeot,2008,"509,-",Benzine,SUV
Seat,Ateca,"499,-",Benzine,SUV
Ford,Kuga,"509,-",PHEV benzine,SUV
Seat,Leon Sportstourer,"489,-",Benzine,Stationwagen
Volvo,EX30,"499,-",Elektriciteit,SUV
Suzuki,S-Cross,"489,-",Hybrid benzine,SUV
Peugeot,308 SW,"494,-",Benzine,Stationwagen
Renault,Megane E-TECH,"499,-",Elektriciteit,SUV
Opel,Astra Electric,"499,-",Elektriciteit,Hatchback
MG,5,"484,-",Elektriciteit,Stationwagen
Hyundai,KONA,"484,-",Hybrid benzine,SUV
Opel,Astra Sports Tourer,"484,-",Benzine,Stationwagen
Peugeot,e-2008,"479,-",Elektriciteit,SUV
Mazda,MX-30,"479,-",Elektriciteit,SUV
Nissan,Leaf,"469,-",Elektriciteit,Hatchback
Volkswagen,T-Cross,"469,-",Benzine,SUV
Seat,Leon,"474,-",Benzine,Hatchback
Mitsubishi,ASX,"484,-",Hybrid benzine,SUV
Dacia,Jogger,"469,-",Hybrid benzine,MPV
MG,ZS,"469,-",Elektriciteit,SUV
Volkswagen,Taigo,"469,-",Benzine,SUV
Mazda,3 hatchback,"464,-",Benzine,Hatchback
Peugeot,308,"469,-",Benzine,Hatchback
Ford,Focus Wagon,"469,-",Benzine,Stationwagen
Toyota,Corolla,"459,-",Hybrid benzine,Hatchback
Nissan,Juke,"469,-",Hybrid benzine,SUV
Fiat,600e,"459,-",Elektriciteit,SUV
Ford,Focus,"449,-",Benzine,Hatchback
Mitsubishi,ASX,"459,-",Benzine,SUV
Renault,Captur,"459,-",Hybrid benzine,SUV
Opel,Mokka,"449,-",Benzine,SUV
Mazda,3 sedan,"459,-",Benzine,Sedan
Toyota,Yaris Cross,"454,-",Hybrid benzine,SUV
Opel,Astra,"459,-",Benzine,Hatchback
Opel,Mokka Electric,"459,-",Elektriciteit,SUV
Suzuki,Vitara,"449,-",Hybrid benzine,SUV
Citroen,C4,"439,-",Benzine,Hatchback
MG,4,"444,-",Elektriciteit,Hatchback
Opel,Corsa Electric,"439,-",Elektriciteit,Hatchback
Hyundai,i30 Wagon,"444,-",Benzine,Stationwagen
Citroen,C4 X,"444,-",Benzine,Hatchback
Toyota,Yaris Cross,"439,-",Benzine,Hatchback
Suzuki,S-Cross,"434,-",Benzine,SUV
Mitsubishi,Colt,"419,-",Hybrid benzine,Hatchback
Citroen,C3 Aircross,"419,-",Benzine,SUV
Audi,A1 Sportback,"439,-",Benzine,Sportback
Opel,Crossland,"424,-",Benzine,SUV
Dacia,Duster,"419,-",Benzine,SUV
Nissan,Juke,"419,-",Benzine,SUV
BYD,Dolphin,"409,-",Elektriciteit,Hatchback
Hyundai,i30,"409,-",Benzine,Hatchback
Volkswagen,Polo,"409,-",Benzine,Hatchback
Seat,Arona,"404,-",Benzine,SUV
Peugeot,208,"409,-",Benzine,Hatchback
Dacia,Jogger,"399,-",Benzine,MPV
Mazda,2,"389,-",Hybrid benzine,Hatchback
Suzuki,Vitara,"399,-",Benzine,SUV
Opel,Corsa,"369,-",Benzine,Hatchback
Kia,Stonic,"379,-",Benzine,SUV
Renault,Clio,"384,-",Hybrid benzine,Hatchback
Peugeot,208,"369,-",Benzine,Hatchback
Fiat,500e,"399,-",Elektriciteit,Hatchback
Citroen,C3,"339,-",Benzine,Hatchback
Seat,Ibiza,"354,-",Benzine,Hatchback
Mazda,2,"334,-",Benzine,Hatchback
Mitsubishi,Colt,"339,-",Benzine,Hatchback
Renault,Clio,"354,-",Benzine,Hatchback
Dacia,Sandero Stepway,"359,-",Benzine,Hatchback
Fiat,500e,"359,-",Elektriciteit,Hatchback
Mercedes-Benz,C-Klasse Limousine,"749,-",PHEV benzine,Sedan
Suzuki,Ignis,"279,-",Benzine,SUV
Dacia,Sandero,"324,-",Benzine,Hatchback
Hyundai,Bayon,"349,-",Benzine,SUV
Hyundai,Tucson,"599,-",Hybrid benzine,SUV
Toyota,AYGO X,"299,-",Benzine,Hatchback
Mitsubishi,Space Star,"279,-",Benzine,Hatchback
Hyundai,IONIQ 6,"569,-",Elektriciteit,Sedan
Hyundai,IONIQ 5,"539,-",Elektriciteit,Hatchback
Hyundai,i20,"319,-",Benzine,Hatchback
Hyundai,i10,"249,-",Benzine,Hatchback
Volkswagen,T-Roc,"679,-",Benzine,SUV
Volvo,XC40,"659,-",Benzine,SUV
Peugeot,508 SW,"599,-",Benzine,Stationwagen
Renault,Grand Scenic,"529,-",Benzine,MPV
Citroen,C5 Aircross,"529,-",Benzine,SUV
BMW,3 Serie Sedan,"629,-",Benzine,Sedan
Hyundai,Tucson,"529,-",Benzine,SUV
BMW,X1,"599,-",Benzine,SUV
Opel,Astra Sports Tourer,"419,-",Benzine,Stationwagen
Mercedes-Benz,B-Klasse,"529,-",Benzine,MPV
Kia,Niro,"439,-",Elektriciteit,Hatchback
Tesla,Model S,"529,-",Elektriciteit,Hatchback
Tesla,Model 3,"439,-",Elektriciteit,Sedan
Hyundai,KONA,"434,-",Elektriciteit,SUV
Kia,e-Niro,"439,-",Elektriciteit,Hatchback
Nissan,Leaf,"364,-",Elektriciteit,Hatchback
